Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Status
CA-280002,10/8/2023,4/15/2025,Standard Class,CUST-9835,Kelli Hill,Home Office,Central,Office Supplies,Storage,Triple-buffered executive concept,3059.85,7,0.25,363.69,Profit
CA-975721,5/11/2024,4/16/2025,First Class,CUST-2230,Terry Day,Consumer,South,Furniture,Tables,Enhanced optimizing portal,2615.22,3,0.46,405.41,Profit
CA-506300,11/22/2023,4/24/2025,Same Day,CUST-4920,Zachary Jackson,Corporate,South,Furniture,Tables,Business-focused disintermediate projection,1503.32,9,0.25,809.06,Profit
CA-485607,5/26/2024,5/7/2025,Second Class,CUST-2209,Tanner Wood,Consumer,South,Technology,Phones,Profit-focused neutral customer loyalty,944.86,2,0.11,990.26,Profit
CA-143170,10/7/2024,4/26/2025,First Class,CUST-2680,Martha Hill,Home Office,East,Office Supplies,Storage,Organized fault-tolerant system engine,4005.87,4,0.23,687.02,Profit
CA-939132,6/21/2023,4/20/2025,Same Day,CUST-6110,Nichole Foster,Home Office,West,Office Supplies,Art,Business-focused local structure,1524.31,1,0.17,-99.69,Loss
CA-453305,11/5/2023,4/19/2025,Second Class,CUST-4301,Garrett Lewis,Home Office,West,Technology,Copiers,Fundamental leading-edge adapter,16.52,6,0.24,683.82,Profit
CA-996661,10/16/2023,4/17/2025,Standard Class,CUST-8931,Jessica Jimenez,Home Office,East,Technology,Copiers,Ameliorated next generation intranet,2630.21,8,0.13,780.36,Profit
CA-983053,4/8/2024,5/6/2025,Same Day,CUST-5866,Emily Castillo,Home Office,South,Office Supplies,Art,Upgradable radical synergy,1957.88,5,0.14,385.26,Profit
CA-331546,1/4/2024,4/29/2025,Same Day,CUST-2704,Susan Aguirre,Home Office,South,Furniture,Tables,Networked static core,1262.07,6,0.38,675.12,Profit
CA-751157,5/5/2023,4/12/2025,Standard Class,CUST-1993,Scott Marshall,Consumer,Central,Technology,Copiers,Profound encompassing Internet solution,1861.16,1,0.03,935.25,Profit
CA-753275,10/27/2023,4/15/2025,Second Class,CUST-8240,Bryan Walker,Corporate,West,Furniture,Bookcases,Face-to-face clear-thinking groupware,3691.75,9,0.15,399.19,Profit
CA-700307,7/14/2023,4/16/2025,Same Day,CUST-1189,Nicole Smith,Home Office,West,Furniture,Bookcases,Diverse fresh-thinking hub,4811.4,8,0.21,738.71,Profit
CA-771019,11/5/2023,4/9/2025,Standard Class,CUST-5015,Spencer Gonzalez,Corporate,Central,Office Supplies,Labels,Balanced national budgetary management,4368.84,2,0.47,955.08,Profit
CA-920667,1/28/2025,5/3/2025,First Class,CUST-4293,Teresa Palmer,Consumer,Central,Technology,Phones,Organized clear-thinking contingency,274.19,9,0.47,100.75,Profit
CA-692012,3/15/2024,4/10/2025,First Class,CUST-7611,David Thomas,Consumer,Central,Technology,Accessories,Expanded solution-oriented portal,3804.68,10,0.04,79.15,Profit
CA-682488,7/19/2023,4/10/2025,Same Day,CUST-9697,Edward Olson,Corporate,South,Office Supplies,Binders,Stand-alone eco-centric product,847.48,9,0.27,688.19,Profit
CA-898310,10/1/2023,5/2/2025,Same Day,CUST-4524,Francisco Newman,Consumer,South,Office Supplies,Paper,Reactive radical adapter,433.66,3,0.3,-37.89,Loss
CA-670658,4/6/2025,4/23/2025,First Class,CUST-3446,Stacey Gibson,Consumer,Central,Office Supplies,Binders,Face-to-face mobile contingency,1604.33,8,0.45,452.4,Profit
CA-499204,2/7/2024,4/24/2025,First Class,CUST-3550,David Taylor,Home Office,South,Technology,Phones,Phased didactic productivity,3531.81,2,0.26,28.24,Profit
CA-517834,1/6/2025,4/19/2025,Standard Class,CUST-6927,Benjamin Francis,Corporate,East,Office Supplies,Binders,De-engineered systemic middleware,4098.29,4,0.41,-60.5,Loss
CA-170330,9/21/2023,4/14/2025,Same Day,CUST-7991,Joshua Shaffer,Corporate,East,Technology,Copiers,Decentralized grid-enabled core,3975.67,9,0.18,318.65,Profit
CA-751585,5/5/2023,4/10/2025,Second Class,CUST-5636,Ryan Barker,Consumer,Central,Technology,Computers,Distributed multimedia encryption,3943.73,9,0.2,563.12,Profit
CA-755148,7/29/2024,4/11/2025,First Class,CUST-6986,Mr. Nathaniel Lane,Home Office,Central,Office Supplies,Art,Proactive well-modulated algorithm,3723.61,1,0.48,544.32,Profit
CA-533214,8/3/2023,4/19/2025,Same Day,CUST-3508,James Miller,Consumer,West,Office Supplies,Labels,Total national orchestration,158.51,1,0.4,557.71,Profit
CA-955012,9/23/2024,4/29/2025,Same Day,CUST-6198,Jonathan Alexander,Corporate,Central,Office Supplies,Art,Organized methodical website,2823.63,1,0.39,540.11,Profit
CA-636606,9/9/2023,4/20/2025,Standard Class,CUST-2732,Michael Waters,Corporate,Central,Technology,Copiers,Triple-buffered multi-tasking frame,93.99,6,0.08,649.59,Profit
CA-206862,2/2/2025,4/15/2025,First Class,CUST-5425,Peter Chandler,Consumer,West,Technology,Machines,Synergistic heuristic solution,2097.96,5,0.13,814.97,Profit
CA-532183,5/13/2023,4/14/2025,Standard Class,CUST-2031,Dr. Danielle Bowman,Consumer,South,Furniture,Chairs,Fundamental disintermediate project,3768.13,7,0.32,238.35,Profit
CA-310081,7/24/2023,4/21/2025,Second Class,CUST-2642,Brandy Nunez,Home Office,West,Office Supplies,Paper,Polarized 24hour toolset,4769.2,5,0.22,603.34,Profit
CA-478618,12/25/2023,5/5/2025,Second Class,CUST-2565,Monica Johnson,Home Office,Central,Technology,Accessories,Quality-focused mission-critical challenge,4660.87,1,0.23,255.75,Profit
CA-686654,1/23/2024,4/25/2025,Same Day,CUST-4919,Julie Sanders,Home Office,West,Office Supplies,Art,Distributed value-added Graphical User Interface,3857.7,7,0.2,796.73,Profit
CA-855292,7/12/2023,4/30/2025,Standard Class,CUST-7648,Craig Scott,Home Office,Central,Furniture,Chairs,Seamless dedicated workforce,3494.78,1,0.21,860.91,Profit
CA-375548,3/14/2024,4/23/2025,First Class,CUST-9612,Brenda Gardner,Consumer,East,Technology,Accessories,Innovative fresh-thinking application,1454.56,1,0.34,474.1,Profit
CA-419641,8/2/2023,4/26/2025,First Class,CUST-9947,David Thompson,Home Office,West,Technology,Computers,Re-contextualized reciprocal challenge,2609.52,8,0.4,-9.63,Loss
CA-161969,6/12/2023,4/18/2025,First Class,CUST-9796,Robin Martin,Corporate,West,Technology,Machines,Optional 6thgeneration hierarchy,3796.2,4,0.11,945.41,Profit
CA-325358,12/10/2024,4/18/2025,Second Class,CUST-5429,Nathan Alvarez,Consumer,East,Furniture,Bookcases,Balanced systemic capacity,4250.19,3,0.06,254.39,Profit
CA-160344,6/25/2023,4/10/2025,First Class,CUST-4747,Brian Walker,Consumer,Central,Furniture,Tables,Stand-alone 3rdgeneration intranet,3180.24,10,0.24,836.73,Profit
CA-559621,3/11/2025,5/4/2025,Standard Class,CUST-4209,Jacqueline Harris,Consumer,Central,Furniture,Chairs,De-engineered 3rdgeneration Graphical User Interface,1360.43,4,0.11,299.79,Profit
CA-275434,9/23/2024,4/27/2025,Same Day,CUST-1755,Franklin Villanueva,Consumer,South,Office Supplies,Storage,Devolved asynchronous infrastructure,1987.86,2,0.03,409.4,Profit
CA-677772,12/14/2024,4/17/2025,Standard Class,CUST-9825,Katelyn Simpson,Corporate,Central,Office Supplies,Binders,Enhanced 5thgeneration superstructure,3565.42,5,0.33,353.21,Profit
CA-721019,3/12/2024,5/8/2025,Same Day,CUST-2581,David Sparks,Consumer,South,Technology,Phones,Optional neutral secured line,2215.2,9,0.38,716.69,Profit
CA-643126,12/11/2024,4/14/2025,First Class,CUST-3311,Pamela Ball,Consumer,East,Furniture,Chairs,Streamlined user-facing definition,3947.62,4,0.49,-89.78,Loss
CA-747599,10/27/2023,4/30/2025,Standard Class,CUST-8262,Ronald Brown,Corporate,Central,Office Supplies,Paper,Managed impactful budgetary management,3496.66,6,0.42,-99.96,Loss
CA-532723,6/9/2023,5/1/2025,First Class,CUST-1739,Emily Gonzalez,Consumer,Central,Furniture,Bookcases,Integrated exuding approach,1031.56,3,0.28,168.83,Profit
CA-380423,6/23/2024,5/7/2025,Standard Class,CUST-8775,Katherine Delgado,Corporate,South,Office Supplies,Paper,Fully-configurable interactive productivity,3971.02,6,0.34,-3.42,Loss
CA-361103,1/9/2024,5/3/2025,Same Day,CUST-9281,Katrina Meyers,Corporate,Central,Furniture,Chairs,Fully-configurable bi-directional customer loyalty,3206.46,5,0.32,29.56,Profit
CA-785894,8/24/2023,4/27/2025,Second Class,CUST-3949,Beverly Butler,Corporate,East,Furniture,Tables,Face-to-face object-oriented website,221.18,3,0.37,761.82,Profit
CA-247375,10/30/2024,4/10/2025,Standard Class,CUST-2832,Edward Young,Consumer,East,Office Supplies,Art,Cross-group mission-critical strategy,234.14,5,0.02,558.25,Profit
CA-852164,6/30/2023,5/8/2025,Same Day,CUST-5973,Megan Hopkins,Consumer,East,Office Supplies,Storage,User-friendly 5thgeneration functionalities,3531.78,1,0.35,-97.64,Loss
CA-785588,12/14/2023,4/19/2025,Standard Class,CUST-3968,Tonya Morrison,Consumer,West,Technology,Copiers,Optimized motivating implementation,2396.5,8,0.35,317.95,Profit
CA-750103,10/9/2024,5/5/2025,Standard Class,CUST-3412,Michael Smith,Corporate,West,Furniture,Furnishings,Universal multimedia archive,2574.87,8,0.46,599.47,Profit
CA-985413,7/5/2024,5/1/2025,First Class,CUST-5520,Danny Blair,Consumer,South,Office Supplies,Labels,De-engineered fresh-thinking strategy,4604.07,9,0.01,296.17,Profit
CA-886754,2/14/2025,5/2/2025,First Class,CUST-8157,Francisco Saunders,Corporate,South,Office Supplies,Binders,Down-sized even-keeled complexity,210.16,4,0.25,682.77,Profit
CA-178998,3/2/2024,4/27/2025,Second Class,CUST-5776,Justin Thompson,Consumer,South,Office Supplies,Binders,Object-based clear-thinking firmware,85.96,10,0.38,136.18,Profit
CA-611227,8/25/2024,4/12/2025,First Class,CUST-8181,Mr. John Walker,Corporate,East,Furniture,Chairs,Organized didactic core,4994.6,8,0.17,327.75,Profit
CA-501451,7/16/2023,4/29/2025,First Class,CUST-3025,Alicia Dunn,Corporate,East,Technology,Accessories,Synergized human-resource archive,4385.26,9,0.47,131.26,Profit
CA-292577,12/12/2024,4/26/2025,Same Day,CUST-3744,Kelly Martinez,Corporate,West,Technology,Machines,Stand-alone mobile extranet,4609.34,2,0.15,212.89,Profit
CA-291201,12/12/2023,4/10/2025,First Class,CUST-9756,Curtis Stevens,Consumer,South,Technology,Phones,Customizable multimedia open architecture,3870.28,2,0.24,78.87,Profit
CA-202956,12/10/2023,4/29/2025,Second Class,CUST-5504,Michael Sweeney,Corporate,Central,Furniture,Tables,Extended exuding data-warehouse,627.72,5,0.43,-14.78,Loss
CA-811063,4/8/2025,4/26/2025,Second Class,CUST-7490,Thomas Carpenter,Home Office,West,Furniture,Chairs,Horizontal next generation instruction set,4174.52,2,0.19,648.61,Profit
CA-859314,12/25/2024,4/27/2025,First Class,CUST-2199,Alyssa Tyler,Corporate,West,Furniture,Chairs,Persistent actuating ability,447.93,2,0.24,802.92,Profit
CA-435699,2/2/2025,4/17/2025,Same Day,CUST-2974,David Peterson,Corporate,West,Technology,Accessories,Future-proofed contextually-based hub,3617.1,8,0.32,702.3,Profit
CA-882359,4/12/2024,4/14/2025,First Class,CUST-2097,Caleb Cline,Corporate,East,Technology,Copiers,Profound full-range knowledgebase,366.09,7,0.08,-40.72,Loss
CA-866167,6/11/2024,5/2/2025,First Class,CUST-9732,Wayne Bowen,Home Office,East,Office Supplies,Storage,De-engineered holistic emulation,663.91,8,0.24,553.38,Profit
CA-424086,8/7/2023,5/8/2025,Standard Class,CUST-1265,Scott Hopkins,Consumer,West,Office Supplies,Paper,Customer-focused motivating knowledgebase,1286.09,5,0.33,599.63,Profit
CA-841271,12/21/2024,4/12/2025,Second Class,CUST-1917,Travis Burns,Consumer,Central,Office Supplies,Labels,Multi-tiered holistic instruction set,2575.34,4,0.46,-71.78,Loss
CA-232183,3/21/2024,5/6/2025,Same Day,CUST-5815,Catherine Lewis,Consumer,Central,Technology,Phones,Diverse dynamic methodology,4061.48,1,0.45,64.59,Profit
CA-505088,8/23/2023,5/2/2025,Same Day,CUST-6642,Mr. Matthew Maynard Jr.,Consumer,Central,Furniture,Furnishings,Synergized optimizing budgetary management,4945.8,9,0.13,238.31,Profit
CA-660300,9/29/2024,4/17/2025,Standard Class,CUST-2011,Briana Bean,Home Office,Central,Technology,Copiers,Intuitive executive productivity,2159.81,8,0.19,626.14,Profit
CA-533867,11/18/2023,4/22/2025,Standard Class,CUST-1817,Dean Lewis,Consumer,South,Office Supplies,Binders,Profit-focused value-added complexity,1871.36,8,0.18,677.48,Profit
CA-418531,9/9/2023,5/7/2025,First Class,CUST-3156,Barbara Flores,Consumer,East,Office Supplies,Paper,Automated bifurcated service-desk,91.7,7,0.3,268.46,Profit
CA-235205,8/20/2024,4/24/2025,Second Class,CUST-4675,Ronald Scott,Corporate,Central,Furniture,Tables,Quality-focused 3rdgeneration matrices,4792.47,7,0.15,553.59,Profit
CA-828112,1/11/2024,5/4/2025,First Class,CUST-8014,Brandy Wright,Home Office,South,Furniture,Tables,Multi-layered modular artificial intelligence,3309.19,7,0.06,378.75,Profit
CA-399262,1/26/2024,4/15/2025,First Class,CUST-7506,Dr. Lance Reyes MD,Consumer,East,Technology,Phones,Face-to-face clear-thinking superstructure,3547.81,8,0.12,345.8,Profit
CA-513536,7/14/2024,4/10/2025,Second Class,CUST-1226,Jack Andrade,Corporate,West,Technology,Phones,Synergistic high-level firmware,3158.75,5,0.36,407.48,Profit
CA-223336,9/2/2023,4/16/2025,First Class,CUST-6566,Cynthia Price,Consumer,Central,Furniture,Tables,Managed disintermediate instruction set,943.91,5,0.31,23.47,Profit
CA-854691,4/23/2024,5/6/2025,Standard Class,CUST-1770,Charles King,Consumer,South,Office Supplies,Storage,Reactive fault-tolerant software,4725.68,5,0.37,104.98,Profit
CA-183590,10/24/2024,4/23/2025,Standard Class,CUST-1982,Janet Lewis,Home Office,Central,Technology,Machines,Distributed context-sensitive utilization,2897.02,10,0.25,996.72,Profit
CA-306185,2/21/2025,5/8/2025,Second Class,CUST-6377,Dawn Bond,Home Office,Central,Furniture,Chairs,Face-to-face asymmetric algorithm,730.24,5,0.06,739.25,Profit
CA-985714,8/24/2024,4/19/2025,Second Class,CUST-2405,Bradley Chavez,Corporate,Central,Office Supplies,Storage,Cross-platform encompassing neural-net,1843.26,5,0.11,263.75,Profit
CA-422665,11/24/2023,4/17/2025,Second Class,CUST-8062,Christopher Fritz,Corporate,East,Furniture,Chairs,Multi-layered disintermediate core,3447.01,7,0.14,-18.39,Loss
CA-645271,11/16/2024,5/6/2025,Second Class,CUST-8397,James Ballard,Home Office,West,Technology,Machines,Robust global approach,2702.22,1,0.49,244.23,Profit
CA-510050,12/9/2024,4/16/2025,Standard Class,CUST-3969,Jeffrey Coleman,Home Office,East,Furniture,Chairs,Quality-focused interactive orchestration,2143.28,9,0.27,844.44,Profit
CA-233748,6/10/2023,4/10/2025,First Class,CUST-5791,Kenneth Olson,Corporate,East,Furniture,Chairs,Digitized disintermediate info-me diaries,1171.43,3,0.22,895.95,Profit
CA-964406,12/25/2023,4/13/2025,Second Class,CUST-2274,Carl Green,Corporate,South,Technology,Copiers,Object-based zero tolerance interface,1442.32,5,0.06,543.57,Profit
CA-326949,10/16/2023,5/2/2025,Standard Class,CUST-2126,Crystal Brewer,Corporate,West,Office Supplies,Art,Horizontal stable protocol,2792.73,7,0.45,361.3,Profit
CA-548640,4/30/2023,5/4/2025,Second Class,CUST-2638,Christine Hubbard,Consumer,Central,Technology,Copiers,Seamless 6thgeneration data-warehouse,156.88,5,0.27,888.15,Profit
CA-299643,7/3/2023,4/17/2025,Second Class,CUST-5469,Daniel Peterson,Home Office,Central,Technology,Machines,Seamless web-enabled interface,267.79,9,0.3,685.64,Profit
CA-674548,7/12/2023,5/8/2025,Standard Class,CUST-9867,Kimberly Aguilar,Home Office,East,Technology,Machines,Business-focused logistical application,1729.5,7,0.11,-43.29,Loss
CA-915933,5/18/2024,5/5/2025,First Class,CUST-6212,Thomas Carr,Corporate,South,Technology,Computers,Networked context-sensitive framework,339.29,5,0.32,34.88,Profit
CA-979446,12/16/2023,5/4/2025,First Class,CUST-7729,Daniel Green,Corporate,East,Furniture,Tables,Multi-tiered bandwidth-monitored methodology,768.33,4,0.13,-82.47,Loss
CA-582916,7/5/2023,4/9/2025,Same Day,CUST-8759,Allison Hardy,Consumer,Central,Technology,Copiers,Progressive heuristic matrix,3960.69,7,0.38,80.93,Profit
CA-355710,4/9/2023,4/27/2025,Second Class,CUST-6126,Charles Reyes,Corporate,Central,Office Supplies,Binders,Synergistic uniform conglomeration,3384.14,2,0.46,135.03,Profit
CA-863454,4/18/2023,4/13/2025,Second Class,CUST-3071,Sarah Martin,Consumer,Central,Office Supplies,Labels,Proactive secondary access,2803.26,10,0.36,992.28,Profit
CA-644764,7/24/2024,4/20/2025,Second Class,CUST-2442,Angela Frey,Corporate,East,Office Supplies,Binders,Phased motivating throughput,3802.99,9,0.38,618.5,Profit
CA-977240,2/2/2025,5/8/2025,Second Class,CUST-3169,Amanda Kirk,Corporate,West,Furniture,Furnishings,Open-architected coherent application,2894.66,9,0.2,564.22,Profit
CA-701676,7/11/2023,5/2/2025,Same Day,CUST-1866,William Griffith,Corporate,Central,Technology,Copiers,Advanced contextually-based focus group,2187.46,6,0.22,241.45,Profit
CA-504391,12/21/2024,4/11/2025,Second Class,CUST-9140,Rhonda Collins,Consumer,Central,Furniture,Furnishings,Fully-configurable client-server concept,2453.94,2,0.42,47.57,Profit
CA-723721,2/6/2024,5/8/2025,Standard Class,CUST-4605,William Burns,Corporate,West,Technology,Copiers,Open-architected explicit data-warehouse,1766.24,10,0.05,68.52,Profit
CA-577661,10/21/2024,4/24/2025,Second Class,CUST-5406,Zoe Soto,Consumer,Central,Technology,Phones,Progressive foreground algorithm,933.47,3,0.14,432.89,Profit
CA-729267,10/15/2023,4/12/2025,First Class,CUST-4043,Victoria Patel,Corporate,Central,Office Supplies,Binders,Public-key client-server approach,4872.95,2,0.34,562.46,Profit
CA-393246,8/4/2023,5/7/2025,Same Day,CUST-9126,Christian Brewer,Home Office,West,Technology,Copiers,Integrated content-based adapter,3114.55,6,0.17,312.6,Profit
CA-555010,8/20/2023,4/28/2025,Second Class,CUST-1244,Darren Warren,Consumer,Central,Office Supplies,Storage,Diverse zero administration frame,3191.19,4,0.23,351.15,Profit
CA-529318,6/20/2023,4/14/2025,Same Day,CUST-8701,Dr. Ashley Torres,Home Office,Central,Office Supplies,Labels,Grass-roots analyzing artificial intelligence,142.64,7,0.12,40.25,Profit
CA-439054,1/22/2025,4/17/2025,Standard Class,CUST-5706,William Dalton,Consumer,South,Furniture,Tables,Monitored tertiary framework,3729.52,7,0.49,998.84,Profit
CA-939383,5/1/2023,4/25/2025,Second Class,CUST-5502,Brian Martin,Corporate,East,Furniture,Tables,Face-to-face high-level moderator,3292.64,8,0.38,49.19,Profit
CA-298463,3/28/2025,4/10/2025,First Class,CUST-8234,Katherine Sherman,Consumer,Central,Office Supplies,Paper,Diverse motivating infrastructure,603.35,9,0.27,399.17,Profit
CA-453968,12/6/2023,4/21/2025,Same Day,CUST-3874,Bruce Ruiz,Corporate,East,Technology,Copiers,Phased incremental product,726.42,2,0.34,313.6,Profit
CA-310797,3/31/2024,4/19/2025,Same Day,CUST-1993,Ivan Martinez,Corporate,Central,Technology,Copiers,Managed mission-critical throughput,1280.43,6,0.12,233.09,Profit
CA-628465,5/15/2024,4/14/2025,Standard Class,CUST-1434,Melissa Marquez,Consumer,South,Furniture,Tables,Polarized context-sensitive productivity,4405.93,8,0.41,471.23,Profit
CA-139588,11/2/2023,4/26/2025,Standard Class,CUST-4537,Pamela Roberts,Home Office,East,Furniture,Chairs,Diverse uniform software,1332.06,7,0.46,493.25,Profit
CA-908429,7/11/2023,4/23/2025,First Class,CUST-6004,Adrian Rodriguez,Corporate,West,Furniture,Furnishings,Adaptive scalable algorithm,3098.09,9,0.08,638.51,Profit
CA-376199,10/9/2024,4/18/2025,Second Class,CUST-8353,Lee Alexander,Home Office,South,Technology,Phones,Ergonomic user-facing focus group,4670.4,1,0.21,58.71,Profit
CA-669208,9/3/2024,5/7/2025,First Class,CUST-1619,Sarah Baker,Corporate,West,Technology,Copiers,Inverse fault-tolerant process improvement,3313.18,10,0.32,619.51,Profit
CA-990789,10/29/2024,4/16/2025,Standard Class,CUST-4939,James Johnson,Corporate,East,Furniture,Furnishings,Function-based value-added archive,2027.96,3,0.18,792.97,Profit
CA-524549,7/25/2024,4/23/2025,First Class,CUST-4746,Stephanie Oliver,Corporate,Central,Furniture,Tables,Multi-lateral tertiary process improvement,1596.46,5,0.01,365.31,Profit
